date,day_type
2026-06-03,Normal
2026-06-04,Variation
2026-06-05,Variation
2026-06-08,Variation
2026-06-09,Variation
2026-06-10,Variation
2026-06-11,Variation
2026-06-12,Variation
2026-06-13,Normal
2026-06-14,Normal
2026-06-15,Trend_Normal
2026-06-16,Trend_Normal
2026-06-18,Trend_Normal
2026-06-19,Variation
2026-06-20,Normal
2026-06-21,Normal
2026-06-22,Variation
2026-06-23,Trend_Normal
2026-06-24,Normal
2026-06-25,Normal
2026-06-26,Normal
2026-06-27,Normal
2026-06-28,Normal
