id,pattern_id_at_entry,direction,day_type_at_entry,session_at_entry,entry_ts,entry_price,stop,t1,t2,t3,t1_hit_ts,t2_hit_ts,t3_hit_ts,stop_hit_ts,exit_ts,exit_price,exit_reason,pnl_usd,pnl_r,outcome,quality
81,REACTIVE_LONG,LONG,Variation,,2026-06-12 20:20:04.935915+03:00,7442.5,7428.25,7451.76,7471.0,,,,,2026-06-12 20:55:00+03:00,2026-06-12 20:55:00+03:00,7428.25,STOP_HIT,-213.75,-1.0,LOSS,"{'review': {'by': 'michael', 't1': 7447, 't2': 7441.75, 't3': 7436, 'ts': '2026-06-15T09:06:40.032075+00:00', 'dir': 'LONG', 'pat': 'REACTIVE_LONG', 'note': 'לא הייתי נכנס מאחר והווליום הקולמטיב החל לרדת הנר לא הצליח ללפרוץ גם אם הייתי נכנס הייתי יוצא ברגע שראיתי אאת הנר השני - כלומר הסטופ היה צריך לעבור אאחרי 2 הנרות השליליים למצומצם - גם חשוב לזהות איזה היום זהה \n', 'entry': 7431.75, 'stop1': 7413.5, 'stop2': 7419, 'stop3': 7431.75, 'day_type': 'Variation', 'no_entry': True}}"
82,INITIATIVE_SHORT,SHORT,Variation,,2026-06-12 20:35:02.579793+03:00,7431.75,7431.5,7425.19,7414.25,,2026-06-12 21:05:00+03:00,,,2026-06-12 21:10:00+03:00,2026-06-12 21:10:00+03:00,7431.5,STOP_HIT,35.3,0.27,WIN,"{'trigger': 'INITIATIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 3, 'pattern': 'INITIATIVE_SHORT', 'variant': None, 'stop_initial': 7440.5, 'variants_passed': None}, 'blocked_by': None, 'confidence': 0.75, 'initial_stop': 7440.5, 'pattern_name': 'INITIATIVE_SHORT', 'classification': 'INITIATIVE_SHORT'}"
99,REACTIVE_LONG,LONG,Trend_Normal,,2026-06-15 18:05:01.405135+03:00,7622.25,7626.75,7629.0,7640.25,,2026-06-15 18:15:00+03:00,2026-06-15 18:50:00+03:00,,2026-06-15 21:30:00+03:00,2026-06-15 21:30:00+03:00,7626.75,STOP_HIT,146.25,1.08,WIN,"{'trigger': 'REACTIVE_LONG', 'day_type': None, 'metadata': {'sizing': 2, 'pattern': 'REACTIVE_LONG', 'variant': 'A_VSA', 'stop_initial': 7613.25, 'variants_passed': ['A_VSA', 'B_RVOL', 'C_STRICT']}, 'blocked_by': None, 'confidence': 0.75, 'initial_stop': 7613.25, 'pattern_name': 'REACTIVE_LONG', 'classification': 'REACTIVE_LONG'}"
101,REACTIVE_LONG,LONG,Trend_Normal,,2026-06-15 18:55:01.251518+03:00,7641.5,7629.0,7649.62,7666.5,,,,,2026-06-15 21:00:00+03:00,2026-06-15 21:00:00+03:00,7629.0,STOP_HIT,-187.5,-1.0,LOSS,"{'trigger': 'REACTIVE_LONG', 'day_type': None, 'metadata': {'sizing': 0, 'pattern': 'REACTIVE_LONG', 'variant': 'A_VSA', 'stop_initial': 7629.0, 'variants_passed': ['A_VSA', 'B_RVOL']}, 'blocked_by': None, 'confidence': 0.75, 'pattern_name': 'REACTIVE_LONG', 'classification': 'REACTIVE_LONG'}"
104,REACTIVE_SHORT,SHORT,Trend_Normal,,2026-06-15 19:45:03.466567+03:00,7640.75,7640.5,7634.75,7624.75,,2026-06-15 20:05:00+03:00,,,2026-06-15 20:10:00+03:00,2026-06-15 20:10:00+03:00,7640.5,STOP_HIT,32.5,0.27,WIN,"{'trigger': 'REACTIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 0, 'pattern': 'REACTIVE_SHORT', 'variant': 'B_RVOL', 'stop_initial': 7648.75, 'variants_passed': ['B_RVOL']}, 'blocked_by': None, 'confidence': 0.75, 'initial_stop': 7648.75, 'pattern_name': 'REACTIVE_SHORT', 'classification': 'REACTIVE_SHORT'}"
110,REACTIVE_SHORT,SHORT,Trend_Normal,,2026-06-15 21:30:01.686608+03:00,7631.5,7636.0,7627.0,7622.5,,,,,2026-06-15 21:45:00+03:00,2026-06-15 21:45:00+03:00,7636.0,STOP_HIT,-67.5,-1.0,LOSS,"{'trigger': 'REACTIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 2, 'pattern': 'REACTIVE_SHORT', 'variant': 'A_VSA', 'stop_initial': 7636.0, 'variants_passed': ['A_VSA', 'B_RVOL']}, 'blocked_by': None, 'confidence': 0.75, 'pattern_name': 'REACTIVE_SHORT', 'classification': 'REACTIVE_SHORT'}"
112,REACTIVE_SHORT,SHORT,Trend_Normal,,2026-06-15 21:35:01.641374+03:00,7628.5,7636.0,7622.88,7613.5,,,,,2026-06-15 21:45:00+03:00,2026-06-15 21:45:00+03:00,7636.0,STOP_HIT,-112.5,-1.0,LOSS,"{'trigger': 'REACTIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 2, 'pattern': 'REACTIVE_SHORT', 'variant': 'B_RVOL', 'stop_initial': 7636.0, 'variants_passed': ['B_RVOL']}, 'blocked_by': None, 'confidence': 0.75, 'pattern_name': 'REACTIVE_SHORT', 'classification': 'REACTIVE_SHORT'}"
113,REACTIVE_LONG,LONG,Trend_Normal,,2026-06-15 21:45:00.212451+03:00,7634.0,7625.75,7640.19,7650.5,,,,,2026-06-15 22:25:00+03:00,2026-06-15 22:25:00+03:00,7625.75,STOP_HIT,-123.75,-1.0,LOSS,"{'trigger': 'REACTIVE_LONG', 'day_type': None, 'metadata': {'sizing': 2, 'pattern': 'REACTIVE_LONG', 'variant': 'A_VSA', 'stop_initial': 7625.75, 'variants_passed': ['A_VSA', 'B_RVOL']}, 'blocked_by': None, 'confidence': 0.75, 'pattern_name': 'REACTIVE_LONG', 'classification': 'REACTIVE_LONG'}"
114,REACTIVE_LONG,LONG,Trend_Normal,,2026-06-15 22:20:00.591836+03:00,7631.75,7627.75,7635.75,7639.75,,,,,2026-06-15 22:25:00+03:00,2026-06-15 22:25:00+03:00,7627.75,STOP_HIT,-60.0,-1.0,LOSS,"{'trigger': 'REACTIVE_LONG', 'day_type': None, 'metadata': {'sizing': 2, 'pattern': 'REACTIVE_LONG', 'variant': 'A_VSA', 'stop_initial': 7627.75, 'variants_passed': ['A_VSA', 'B_RVOL']}, 'blocked_by': None, 'confidence': 0.75, 'pattern_name': 'REACTIVE_LONG', 'classification': 'REACTIVE_LONG'}"
115,REACTIVE_SHORT,SHORT,Trend_Normal,,2026-06-15 22:35:02.663177+03:00,7625.5,7625.25,7618.38,7606.5,,2026-06-15 22:55:00+03:00,,,2026-06-15 23:00:00+03:00,2026-06-15 23:00:00+03:00,7625.25,STOP_HIT,38.1,0.27,WIN,"{'trigger': 'REACTIVE_SHORT', 'day_type': None, 'metadata': {'sizing': 2, 'pattern': 'REACTIVE_SHORT', 'variant': 'A_VSA', 'stop_initial': 7635.0, 'variants_passed': ['A_VSA']}, 'blocked_by': None, 'confidence': 0.75, 'initial_stop': 7635.0, 'pattern_name': 'REACTIVE_SHORT', 'classification': 'REACTIVE_SHORT'}"
